University of Wisconsin,1,A+
Tulane University,2,A+
Florida State University,3,A+
Howard University,4,A+
University of Illinois at Urbana-Champaign,5,A+
University of Georgia,6,A+
Syracuse University,7,A+
The University of Alabama,8,A+
West Virginia University,9,A+
Penn State,10,A+
University of Southern California,11,A+
University of Iowa,12,A+
Ohio University,13,A+
Indiana University - Bloomington,14,A+
University of California - Santa Barbara,15,A+
Miami University,16,A+
University of Texas - Austin,17,A+
University of Mississippi,18,A+
San Diego State University,19,A+
Michigan State University,20,A+
Southern Methodist University,21,A+
University of Delaware,22,A+
Vanderbilt University,23,A+
Clark Atlanta University,24,A+
University of Miami,25,A+
The Ohio State University,26,A+
University of Colorado - Boulder,27,A+
Rutgers University - New Brunswick,28,A+
University of Pennsylvania,29,A+
University of South Carolina,30,A+
Florida A&M University,31,A+
University of Florida,32,A+
James Madison University,33,A+
University of Michigan - Ann Arbor,34,A+
University of Virginia,35,A+
University of Kansas,36,A+
University of Dayton,37,A+
College of Charleston,38,A+
Washington State University,39,A+
University of Massachusetts - Amherst,40,A+
University of Cincinnati,41,A+
University of Missouri,42,A+
University of Oklahoma,43,A+
Lehigh University,44,A+
University of Arkansas,45,A+
University at Albany SUNY,46,A+
Western Michigan University,47,A+
Morehouse College,48,A+
University of Arizona,49,A+
Temple University,50,A+
Louisiana State University,51,A+
East Carolina University,52,A+
Arizona State University,53,A+
Texas Tech University,54,A+
University of Maryland - College Park,55,A+
Loyola University New Orleans,56,A+
North Carolina A&T State University,57,A+
Bowling Green State University,58,A+
University of Wisconsin - La Crosse,59,A+
University of Minnesota Twin Cities,60,A+
Texas Southern University,61,A+
Texas State University,62,A+
University of California - Los Angeles,63,A+
California State University - Chico,64,A+
Savannah State University,65,A+
University of Tennessee,66,A+
Morgan State University,67,A+
Kansas State University,68,A+
University of Oregon,69,A+
University of Kentucky,70,A+
Yale University,71,A+
Auburn University,72,A+
SUNY Oswego,73,A+
SUNY Oneonta,74,A+
University of North Carolina at Chapel Hill,75,A+
SUNY Cortland,76,A+
Alabama State University,77,A+
University of Wisconsin - Oshkosh,78,A+
DePauw University,79,A
Norfolk State University,80,A
New York University,81,A
Alabama A&M University,82,A
Colgate University,83,A
University of South Dakota,84,A
Virginia Tech,85,A
Prairie View A & M University,86,A
Spelman College,87,A
University of Central Florida,88,A
Albany State University,89,A
Tennessee State University,90,A
Georgia State University,91,A
University of Tampa,92,A
Southern University & A&M College,93,A
Bethune-Cookman University,94,A
University of Louisville,95,A
Binghamton University, SUNY,96,A
North Carolina Central University,97,A
Southern Illinois University Carbondale,98,A
University of Pittsburgh,99,A
Jackson State University,100,A
